iteration,score,hiscore,hireward
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,1,0.75
12,0,1,0.75
13,0,1,0.75
14,0,1,0.75
15,0,1,0.75
16,1,1,0.75
17,0,1,0.75
18,0,1,0.75
19,0,1,0.75
20,0,1,0.75
21,0,1,0.75
22,0,1,0.75
23,0,1,0.75
24,0,1,0.75
25,0,1,0.75
26,0,1,0.75
27,0,1,0.75
28,0,1,0.75
29,0,1,0.75
30,0,1,0.75
31,0,1,0.75
32,1,1,0.75
33,0,1,0.75
34,1,1,0.75
35,0,1,0.75
36,0,1,0.75
37,0,1,0.75
38,0,1,0.75
39,0,1,0.75
40,1,1,0.75
41,1,1,0.75
42,0,1,0.75
43,0,1,0.75
44,0,1,0.75
45,1,1,0.75
46,0,1,0.75
47,0,1,0.75
48,0,1,0.75
49,0,1,0.75
50,0,1,0.75
51,0,1,0.75
52,0,1,0.75
53,0,1,0.75
54,0,1,0.75
55,0,1,0.75
56,0,1,0.75
57,0,1,0.75
58,0,1,0.75
59,1,1,0.75
60,0,1,0.75
61,0,1,0.75
62,0,1,0.75
63,0,1,0.75
64,0,1,0.75
65,1,1,0.75
66,0,1,0.75
67,0,1,0.75
68,0,1,0.75
69,1,1,0.796875
70,0,1,0.796875
71,0,1,0.796875
72,0,1,0.796875
73,0,1,0.796875
74,0,1,0.796875
75,0,1,0.796875
76,0,1,0.796875
77,0,1,0.796875
78,0,1,0.796875
79,0,1,0.796875
80,0,1,0.796875
81,0,1,0.796875
82,0,1,0.796875
83,0,1,0.796875
84,0,1,0.796875
85,1,1,0.796875
86,0,1,0.796875
87,1,1,0.796875
88,0,1,0.796875
89,0,1,0.796875
90,0,1,0.796875
91,0,1,0.796875
92,0,1,0.796875
93,0,1,0.796875
94,0,1,0.796875
95,0,1,0.796875
96,0,1,0.796875
97,0,1,0.796875
98,0,1,0.796875
99,1,1,0.796875
100,0,1,0.796875
101,0,1,0.796875
102,0,1,0.796875
103,0,1,0.796875
104,0,1,0.796875
105,0,1,0.796875
106,0,1,0.796875
107,0,1,0.796875
108,0,1,0.796875
109,0,1,0.796875
110,1,1,0.796875
111,0,1,0.796875
112,0,1,0.796875
113,0,1,0.796875
114,0,1,0.796875
115,1,1,0.796875
116,0,1,0.796875
117,0,1,0.796875
118,0,1,0.796875
119,0,1,0.796875
120,0,1,0.796875
121,0,1,0.796875
122,1,1,0.796875
123,0,1,0.796875
124,0,1,0.796875
125,0,1,0.796875
126,0,1,0.796875
127,0,1,0.796875
128,0,1,0.796875
129,0,1,0.796875
130,0,1,0.796875
131,0,1,0.796875
132,0,1,0.796875
133,1,1,0.796875
134,1,1,0.796875
135,0,1,0.796875
136,0,1,0.796875
137,0,1,0.796875
138,0,1,0.796875
139,0,1,0.796875
140,0,1,0.796875
141,0,1,0.796875
142,0,1,0.796875
143,0,1,0.796875
144,1,1,0.796875
145,0,1,0.796875
146,0,1,0.796875
147,0,1,0.796875
148,0,1,0.796875
149,0,1,0.796875
150,1,1,0.796875
151,0,1,0.796875
152,0,1,0.796875
153,0,1,0.796875
154,0,1,0.796875
155,0,1,0.796875
156,0,1,0.796875
157,0,1,0.796875
158,0,1,0.796875
159,1,1,0.796875
160,0,1,0.796875
161,0,1,0.796875
162,0,1,0.796875
163,0,1,0.796875
164,0,1,0.796875
165,0,1,0.796875
166,0,1,0.796875
167,0,1,0.796875
168,0,1,0.796875
169,0,1,0.796875
170,0,1,0.796875
171,0,1,0.796875
172,0,1,0.796875
173,0,1,0.796875
174,0,1,0.796875
175,1,1,0.796875
176,0,1,0.796875
177,0,1,0.796875
