iteration,score,hiscore,hireward
310,0,1,0.7521444927978516
311,0,1,0.7521444927978516
312,0,1,0.7521444927978516
313,0,1,0.7521444927978516
314,0,1,0.7521444927978516
315,0,1,0.7521444927978516
316,0,1,0.7521444927978516
317,0,1,0.7521444927978516
318,0,1,0.7521444927978516
319,0,1,0.7521444927978516
320,0,1,0.7521444927978516
321,0,1,0.7521444927978516
322,1,1,0.7521444927978516
323,0,1,0.7521444927978516
324,0,1,0.7521444927978516
325,0,1,0.7521444927978516
326,0,1,0.7521444927978516
327,0,1,0.7521444927978516
328,0,1,0.7521444927978516
329,1,1,0.7521444927978516
330,0,1,0.7521444927978516
331,1,1,0.7521444927978516
332,0,1,0.7521444927978516
333,0,1,0.7521444927978516
334,0,1,0.7521444927978516
335,0,1,0.7521444927978516
336,0,1,0.7521444927978516
337,0,1,0.7521444927978516
338,0,1,0.7521444927978516
339,0,1,0.7521444927978516
340,0,1,0.7521444927978516
341,0,1,0.7521444927978516
342,0,1,0.7521444927978516
343,0,1,0.7521444927978516
344,0,1,0.7521444927978516
345,0,1,0.7521444927978516
346,0,1,0.7521444927978516
347,0,1,0.7521444927978516
348,0,1,0.7521444927978516
349,0,1,0.7521444927978516
350,0,1,0.7521444927978516
351,0,1,0.7521444927978516
352,0,1,0.7521444927978516
353,0,1,0.7521444927978516
354,0,1,0.7521444927978516
355,0,1,0.7521444927978516
356,0,1,0.7521444927978516
357,0,1,0.7521444927978516
358,0,1,0.7521444927978516
359,0,1,0.7521444927978516
360,1,1,0.7521444927978516
361,0,1,0.7521444927978516
362,0,1,0.7521444927978516
363,0,1,0.7521444927978516
364,0,1,0.7521444927978516
365,0,1,0.7521444927978516
366,0,1,0.7521444927978516
367,0,1,0.7521444927978516
368,0,1,0.7521444927978516
369,0,1,0.7521444927978516
370,0,1,0.7521444927978516
371,0,1,0.7521444927978516
372,0,1,0.7521444927978516
373,1,1,0.7521444927978516
374,0,1,0.7521444927978516
375,0,1,0.7521444927978516
376,0,1,0.7521444927978516
377,0,1,0.7521444927978516
378,0,1,0.7521444927978516
379,0,1,0.7521444927978516
380,0,1,0.7521444927978516
381,0,1,0.7521444927978516
382,0,1,0.7521444927978516
383,0,1,0.7521444927978516
384,0,1,0.7521444927978516
385,0,1,0.7521444927978516
386,1,1,0.7595449951171875
387,0,1,0.7595449951171875
388,0,1,0.7595449951171875
389,0,1,0.7595449951171875
390,0,1,0.7595449951171875
391,0,1,0.7595449951171875
392,0,1,0.7595449951171875
393,0,1,0.7595449951171875
394,0,1,0.7595449951171875
395,0,1,0.7595449951171875
396,0,1,0.7595449951171875
397,0,1,0.7595449951171875
398,0,1,0.7595449951171875
399,0,1,0.7595449951171875
400,0,1,0.7595449951171875
401,0,1,0.7595449951171875
402,1,1,0.7595449951171875
403,0,1,0.7595449951171875
404,0,1,0.7595449951171875
405,1,1,0.7595449951171875
406,0,1,0.7595449951171875
407,0,1,0.7595449951171875
408,0,1,0.7595449951171875
409,0,1,0.7595449951171875
410,1,1,0.7595449951171875
411,0,1,0.7595449951171875
412,1,1,0.7595449951171875
413,0,1,0.7595449951171875
414,0,1,0.7595449951171875
415,0,1,0.7595449951171875
416,1,1,0.7595449951171875
417,0,1,0.7595449951171875
418,0,1,0.7595449951171875
419,0,1,0.7595449951171875
420,0,1,0.7595449951171875
421,0,1,0.7595449951171875
422,0,1,0.7595449951171875
423,0,1,0.7595449951171875
424,0,1,0.7595449951171875
425,1,1,0.7595449951171875
426,0,1,0.7595449951171875
427,0,1,0.7595449951171875
428,0,1,0.7595449951171875
429,0,1,0.7595449951171875
430,0,1,0.7595449951171875
431,0,1,0.7595449951171875
432,0,1,0.7595449951171875
433,0,1,0.7595449951171875
434,0,1,0.7595449951171875
435,0,1,0.7595449951171875
436,0,1,0.7595449951171875
437,0,1,0.7595449951171875
438,0,1,0.7595449951171875
439,0,1,0.7595449951171875
440,0,1,0.7595449951171875
441,0,1,0.7595449951171875
442,0,1,0.7595449951171875
443,0,1,0.7595449951171875
444,0,1,0.7595449951171875
445,0,1,0.7595449951171875
446,2,2,0.808740234375
447,0,2,0.808740234375
448,1,2,0.808740234375
449,0,2,0.808740234375
450,0,2,0.808740234375
451,0,2,0.808740234375
452,0,2,0.808740234375
453,0,2,0.808740234375
454,0,2,0.808740234375
455,0,2,0.808740234375
456,0,2,0.808740234375
457,0,2,0.808740234375
458,0,2,0.808740234375
459,0,2,0.808740234375
460,0,2,0.808740234375
461,0,2,0.808740234375
462,0,2,0.808740234375
463,0,2,0.808740234375
464,0,2,0.808740234375
465,0,2,0.808740234375
466,0,2,0.808740234375
467,0,2,0.808740234375
468,0,2,0.808740234375
469,0,2,0.808740234375
470,0,2,0.808740234375
471,0,2,0.808740234375
472,0,2,0.808740234375
473,0,2,0.808740234375
474,0,2,0.808740234375
475,0,2,0.808740234375
476,0,2,0.808740234375
477,0,2,0.808740234375
478,0,2,0.808740234375
479,0,2,0.808740234375
480,0,2,0.808740234375
481,0,2,0.808740234375
482,0,2,0.808740234375
483,0,2,0.808740234375
484,0,2,0.808740234375
485,0,2,0.808740234375
486,0,2,0.808740234375
487,0,2,0.808740234375
488,0,2,0.808740234375
489,0,2,0.808740234375
490,0,2,0.808740234375
491,0,2,0.808740234375
492,1,2,0.808740234375
493,1,2,0.808740234375
494,0,2,0.808740234375
495,0,2,0.808740234375
496,0,2,0.808740234375
497,1,2,0.808740234375
498,0,2,0.808740234375
499,0,2,0.808740234375
500,0,2,0.808740234375
501,0,2,0.808740234375
502,0,2,0.808740234375
503,0,2,0.808740234375
504,0,2,0.808740234375
505,0,2,0.808740234375
506,0,2,0.808740234375
507,0,2,0.808740234375
508,0,2,0.808740234375
509,0,2,0.808740234375
510,0,2,0.808740234375
511,1,2,0.808740234375
512,0,2,0.808740234375
513,0,2,0.808740234375
514,0,2,0.808740234375
515,0,2,0.808740234375
516,0,2,0.808740234375
517,0,2,0.808740234375
518,0,2,0.808740234375
519,0,2,0.808740234375
520,0,2,0.808740234375
521,0,2,0.808740234375
522,0,2,0.808740234375
523,0,2,0.808740234375
524,0,2,0.808740234375
525,0,2,0.808740234375
526,0,2,0.808740234375
527,0,2,0.808740234375
528,0,2,0.808740234375
529,0,2,0.808740234375
530,0,2,0.808740234375
531,0,2,0.808740234375
532,0,2,0.808740234375
533,0,2,0.808740234375
534,0,2,0.808740234375
535,0,2,0.808740234375
536,0,2,0.808740234375
537,0,2,0.808740234375
538,0,2,0.808740234375
539,0,2,0.808740234375
540,0,2,0.808740234375
541,0,2,0.808740234375
542,0,2,0.808740234375
543,0,2,0.808740234375
544,0,2,0.808740234375
545,0,2,0.808740234375
