iteration,score,hiscore,hireward
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,1,1,0.75
11,0,1,0.75
12,0,1,0.75
13,0,1,0.75
14,0,1,0.75
15,0,1,0.75
16,0,1,0.75
17,1,1,0.75
18,0,1,0.75
19,1,1,0.75
20,1,1,0.75
21,0,1,0.75
22,0,1,0.75
23,0,1,0.75
24,0,1,0.75
25,0,1,0.75
26,0,1,0.75
27,0,1,0.75
28,0,1,0.75
29,0,1,0.75
30,0,1,0.75
31,0,1,0.75
32,0,1,0.75
33,0,1,0.75
34,0,1,0.75
35,0,1,0.75
36,1,1,0.75
37,0,1,0.75
38,0,1,0.75
39,0,1,0.75
40,1,1,0.75
41,0,1,0.75
42,2,2,0.75
43,0,2,0.75
44,0,2,0.75
45,0,2,0.75
46,1,2,0.75
47,1,2,0.75
48,0,2,0.75
49,0,2,0.75
50,0,2,0.75
51,0,2,0.75
52,0,2,0.75
53,0,2,0.75
54,0,2,0.75
55,0,2,0.75
56,0,2,0.75
57,1,2,0.75
58,0,2,0.75
59,0,2,0.75
60,1,2,0.75
61,0,2,0.75
62,0,2,0.75
63,0,2,0.75
64,0,2,0.75
65,0,2,0.75
66,0,2,0.75
67,0,2,0.75
68,1,2,0.75
69,0,2,0.75
70,0,2,0.75
71,0,2,0.75
72,0,2,0.75
73,0,2,0.75
74,0,2,0.75
75,0,2,0.75
76,0,2,0.75
77,0,2,0.75
78,0,2,0.75
79,1,2,0.75
80,1,2,0.75
81,0,2,0.75
82,0,2,0.75
83,0,2,0.75
84,0,2,0.75
85,0,2,0.75
86,1,2,0.75
87,0,2,0.75
88,0,2,0.75
89,0,2,0.75
90,0,2,0.75
91,0,2,0.75
92,0,2,0.75
93,0,2,0.75
94,0,2,0.75
95,0,2,0.75
96,0,2,0.75
97,0,2,0.75
98,0,2,0.75
99,0,2,0.75
100,0,2,0.75
101,0,2,0.75
102,0,2,0.75
103,0,2,0.75
104,0,2,0.75
105,0,2,0.75
106,0,2,0.75
107,1,2,0.75
108,0,2,0.75
109,0,2,0.75
110,0,2,0.75
111,0,2,0.75
112,0,2,0.75
113,1,2,0.9375
114,0,2,0.9375
115,0,2,0.9375
116,1,2,0.9375
117,0,2,0.9375
118,0,2,0.9375
119,0,2,0.9375
120,0,2,0.9375
121,0,2,0.9375
122,0,2,0.9375
123,0,2,0.9375
124,0,2,0.9375
125,0,2,0.9375
126,0,2,0.9375
127,0,2,0.9375
128,0,2,0.9375
129,0,2,0.9375
130,0,2,0.9375
131,0,2,0.9375
132,0,2,0.9375
133,0,2,0.9375
134,0,2,0.9375
135,0,2,0.9375
136,0,2,0.9375
137,1,2,0.9375
138,0,2,0.9375
139,1,2,0.9375
140,0,2,0.9375
141,0,2,0.9375
142,0,2,0.9375
143,0,2,0.9375
144,0,2,0.9375
145,0,2,0.9375
146,0,2,0.9375
147,0,2,0.9375
148,1,2,0.9375
149,0,2,0.9375
150,0,2,0.9375
151,0,2,0.9375
152,0,2,0.9375
153,0,2,0.9375
154,0,2,0.9375
155,0,2,0.9375
156,2,2,0.9375
157,0,2,0.9375
158,0,2,0.9375
159,0,2,0.9375
160,0,2,0.9375
161,0,2,0.9375
162,1,2,0.9375
163,0,2,0.9375
164,0,2,0.9375
165,0,2,0.9375
166,0,2,0.9375
167,0,2,0.9375
168,0,2,0.9375
169,0,2,0.9375
170,0,2,0.9375
171,0,2,0.9375
172,0,2,0.9375
173,0,2,0.9375
174,0,2,0.9375
175,0,2,0.9375
176,0,2,0.9375
177,0,2,0.9375
178,0,2,0.9375
179,0,2,0.9375
180,0,2,0.9375
181,0,2,0.9375
