iteration,score,hiscore,hireward
0,1,1,0.75
1,0,1,0.75
2,0,1,0.75
3,0,1,0.75
4,1,1,0.75
5,0,1,0.75
6,0,1,0.75
7,0,1,0.75
8,0,1,0.75
9,0,1,0.75
10,0,1,0.75
11,1,1,0.75
12,0,1,0.75
13,0,1,0.75
14,0,1,0.75
15,0,1,0.75
16,0,1,0.75
17,0,1,0.75
18,0,1,0.75
19,0,1,0.75
20,0,1,0.75
21,0,1,0.75
22,0,1,0.75
23,0,1,0.75
24,0,1,0.75
25,0,1,0.75
26,0,1,0.75
27,0,1,0.75
28,0,1,0.75
29,0,1,0.75
30,0,1,0.75
31,0,1,0.75
32,0,1,0.75
33,0,1,0.75
34,0,1,0.75
35,0,1,0.75
36,0,1,0.75
37,0,1,0.75
38,0,1,0.75
39,0,1,0.75
40,0,1,0.75
41,0,1,0.75
42,0,1,0.75
43,0,1,0.75
44,0,1,0.75
45,0,1,0.75
46,0,1,0.75
47,1,1,0.75
48,0,1,0.75
49,0,1,0.75
50,1,1,0.75
51,0,1,0.75
52,0,1,0.75
53,0,1,0.75
54,0,1,0.75
55,0,1,0.75
56,0,1,0.75
57,0,1,0.75
58,1,1,0.75
59,0,1,0.75
60,0,1,0.75
61,0,1,0.75
62,0,1,0.75
63,0,1,0.75
64,0,1,0.75
65,0,1,0.75
66,0,1,0.75
67,0,1,0.75
68,0,1,0.75
69,0,1,0.75
70,0,1,0.75
71,1,1,0.75
72,0,1,0.75
73,1,1,0.75
74,0,1,0.75
75,0,1,0.75
76,0,1,0.75
77,0,1,0.75
78,1,1,0.75
79,0,1,0.75
80,1,1,0.75
81,1,1,0.75
82,0,1,0.75
83,0,1,0.75
84,0,1,0.75
85,0,1,0.75
86,0,1,0.75
87,0,1,0.75
88,0,1,0.75
89,0,1,0.75
90,0,1,0.75
91,0,1,0.75
92,1,1,0.75
93,0,1,0.75
94,0,1,0.75
95,0,1,0.75
96,0,1,0.75
97,0,1,0.75
98,0,1,0.75
99,1,1,0.75
100,0,1,0.75
101,0,1,0.75
102,0,1,0.75
103,0,1,0.75
104,0,1,0.75
105,0,1,0.75
106,0,1,0.75
107,0,1,0.75
108,0,1,0.75
109,0,1,0.75
110,0,1,0.75
111,0,1,0.75
112,0,1,0.75
113,0,1,0.75
114,0,1,0.75
115,0,1,0.75
116,0,1,0.75
117,0,1,0.75
118,0,1,0.75
119,0,1,0.75
120,0,1,0.75
121,0,1,0.75
122,0,1,0.75
123,1,1,0.75
124,0,1,0.75
125,0,1,0.75
126,1,1,0.75
127,0,1,0.75
128,0,1,0.75
129,0,1,0.75
130,0,1,0.75
131,0,1,0.75
132,1,1,0.75
133,0,1,0.75
134,1,1,0.75
135,0,1,0.75
136,0,1,0.75
137,0,1,0.75
138,0,1,0.75
139,0,1,0.75
140,0,1,0.75
141,0,1,0.75
142,0,1,0.75
143,0,1,0.75
144,0,1,0.75
145,0,1,0.75
146,0,1,0.75
147,1,1,0.75
148,0,1,0.75
149,0,1,0.75
150,0,1,0.75
151,0,1,0.75
152,1,1,0.75
153,0,1,0.75
154,0,1,0.75
155,0,1,0.75
156,0,1,0.75
157,0,1,0.75
158,0,1,0.75
159,0,1,0.75
160,0,1,0.75
161,0,1,0.75
162,0,1,0.75
163,0,1,0.75
164,0,1,0.75
165,0,1,0.75
166,0,1,0.75
167,0,1,0.75
168,0,1,0.75
169,0,1,0.75
170,0,1,0.75
171,0,1,0.75
172,1,1,0.75
173,0,1,0.75
174,0,1,0.75
175,0,1,0.75
176,0,1,0.75
177,0,1,0.75
178,0,1,0.75
179,0,1,0.75
180,0,1,0.75
181,0,1,0.75
182,0,1,0.75
183,0,1,0.75
184,1,1,0.75
185,0,1,0.75
186,0,1,0.75
187,0,1,0.75
188,0,1,0.75
189,0,1,0.75
190,0,1,0.75
191,0,1,0.75
192,0,1,0.75
193,0,1,0.75
194,0,1,0.75
195,0,1,0.75
196,0,1,0.75
197,0,1,0.75
198,0,1,0.75
199,0,1,0.75
200,0,1,0.75
201,0,1,0.75
202,0,1,0.75
203,0,1,0.75
204,0,1,0.75
205,0,1,0.75
206,0,1,0.75
207,0,1,0.75
208,0,1,0.75
209,0,1,0.75
210,0,1,0.75
211,0,1,0.75
212,0,1,0.75
213,1,1,0.75
214,0,1,0.75
215,0,1,0.75
216,1,1,0.75
217,0,1,0.75
218,0,1,0.75
219,0,1,0.75
220,0,1,0.75
221,0,1,0.75
222,0,1,0.75
223,0,1,0.75
224,0,1,0.75
225,0,1,0.75
226,0,1,0.75
227,1,1,0.75
228,0,1,0.75
229,0,1,0.75
230,0,1,0.75
231,0,1,0.75
232,0,1,0.75
233,0,1,0.75
234,0,1,0.75
235,0,1,0.75
236,0,1,0.75
237,0,1,0.75
238,0,1,0.75
239,0,1,0.75
240,0,1,0.75
241,0,1,0.75
242,0,1,0.75
243,0,1,0.75
244,0,1,0.75
245,0,1,0.75
246,1,1,0.75
247,1,1,0.75
248,0,1,0.75
249,0,1,0.75
250,0,1,0.75
251,0,1,0.75
252,0,1,0.75
253,0,1,0.75
254,0,1,0.75
255,0,1,0.75
256,0,1,0.75
257,0,1,0.75
258,0,1,0.75
259,0,1,0.75
260,0,1,0.75
261,0,1,0.75
262,0,1,0.75
263,0,1,0.75
264,0,1,0.75
265,0,1,0.75
266,0,1,0.75
267,0,1,0.75
268,0,1,0.75
269,0,1,0.75
270,0,1,0.75
271,0,1,0.75
272,0,1,0.75
273,0,1,0.75
274,0,1,0.75
275,0,1,0.75
276,0,1,0.75
277,0,1,0.75
278,0,1,0.75
279,0,1,0.75
280,0,1,0.75
281,1,1,0.75
282,0,1,0.75
283,0,1,0.75
284,0,1,0.75
285,0,1,0.75
286,0,1,0.75
287,0,1,0.75
288,0,1,0.75
289,0,1,0.75
290,0,1,0.75
291,0,1,0.75
292,0,1,0.75
293,0,1,0.75
294,0,1,0.75
295,0,1,0.75
296,0,1,0.75
297,0,1,0.75
298,0,1,0.75
299,0,1,0.75
300,0,1,0.75
301,0,1,0.75
302,0,1,0.75
303,1,1,0.75
304,0,1,0.75
305,0,1,0.75
306,0,1,0.75
307,0,1,0.75
308,0,1,0.75
309,0,1,0.75
310,0,1,0.75
311,0,1,0.75
312,0,1,0.75
313,0,1,0.75
314,0,1,0.75
315,0,1,0.75
316,0,1,0.75
317,0,1,0.75
318,0,1,0.75
319,0,1,0.75
320,0,1,0.75
321,0,1,0.75
322,0,1,0.75
323,0,1,0.75
324,0,1,0.75
325,0,1,0.75
326,0,1,0.75
327,0,1,0.75
328,0,1,0.75
329,0,1,0.75
330,0,1,0.75
331,0,1,0.75
332,0,1,0.75
333,0,1,0.75
334,0,1,0.75
335,0,1,0.75
336,0,1,0.75
337,0,1,0.75
338,0,1,0.75
339,0,1,0.75
340,0,1,0.75
341,1,1,0.75
342,0,1,0.75
343,0,1,0.75
344,0,1,0.75
345,0,1,0.75
346,0,1,0.75
347,0,1,0.75
348,0,1,0.75
349,0,1,0.75
350,0,1,0.75
351,0,1,0.75
352,0,1,0.75
353,0,1,0.75
354,0,1,0.75
355,1,1,0.75
356,0,1,0.75
357,0,1,0.75
358,0,1,0.75
359,0,1,0.75
360,0,1,0.75
361,0,1,0.75
362,0,1,0.75
363,0,1,0.75
364,0,1,0.75
365,0,1,0.75
366,0,1,0.75
367,0,1,0.75
368,0,1,0.75
369,0,1,0.75
370,0,1,0.75
371,0,1,0.75
372,0,1,0.75
373,0,1,0.75
374,0,1,0.75
375,0,1,0.75
376,0,1,0.75
377,0,1,0.75
378,0,1,0.75
379,0,1,0.75
380,0,1,0.75
381,1,1,0.75
382,0,1,0.75
383,0,1,0.75
384,0,1,0.75
385,0,1,0.75
386,0,1,0.75
387,0,1,0.75
388,0,1,0.75
389,0,1,0.75
390,0,1,0.75
391,0,1,0.75
392,0,1,0.75
393,0,1,0.75
394,0,1,0.75
395,0,1,0.75
396,0,1,0.75
397,0,1,0.75
398,0,1,0.75
399,0,1,0.75
400,0,1,0.75
401,0,1,0.75
402,0,1,0.75
403,0,1,0.75
404,0,1,0.75
405,0,1,0.75
406,0,1,0.75
407,0,1,0.75
408,0,1,0.75
409,0,1,0.75
410,0,1,0.75
411,0,1,0.75
412,0,1,0.75
413,0,1,0.75
414,0,1,0.75
415,0,1,0.75
416,0,1,0.75
417,0,1,0.75
418,0,1,0.75
419,0,1,0.75
420,0,1,0.75
421,0,1,0.75
422,1,1,0.75
423,0,1,0.75
424,0,1,0.75
425,0,1,0.75
426,0,1,0.75
427,1,1,0.75
428,1,1,0.75
429,0,1,0.75
430,0,1,0.75
431,0,1,0.75
432,0,1,0.75
433,0,1,0.75
434,0,1,0.75
435,0,1,0.75
436,0,1,0.75
437,0,1,0.75
438,0,1,0.75
439,0,1,0.75
440,0,1,0.75
