iteration,score,hiscore,hireward
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,1,1,0.75
31,0,1,0.75
32,0,1,0.75
33,0,1,0.75
34,0,1,0.75
35,0,1,0.75
36,0,1,0.75
37,0,1,0.75
38,0,1,0.75
39,0,1,0.75
40,0,1,0.75
41,0,1,0.75
42,0,1,0.75
43,0,1,0.75
44,0,1,0.75
45,2,2,0.75
46,0,2,0.75
47,0,2,0.75
48,0,2,0.75
49,0,2,0.75
50,1,2,0.75
51,0,2,0.75
52,0,2,0.75
53,0,2,0.75
54,0,2,0.75
55,0,2,0.75
56,1,2,0.75
57,0,2,0.75
58,0,2,0.75
59,0,2,0.75
60,0,2,0.75
61,0,2,0.75
62,0,2,0.75
63,0,2,0.75
64,1,2,0.75
65,0,2,0.75
66,0,2,0.75
67,0,2,0.75
68,0,2,0.75
69,0,2,0.75
70,1,2,0.75
71,0,2,0.75
72,0,2,0.75
73,0,2,0.75
74,0,2,0.75
75,0,2,0.75
76,0,2,0.75
77,0,2,0.75
78,0,2,0.75
79,0,2,0.75
80,0,2,0.75
81,0,2,0.75
82,0,2,0.75
83,0,2,0.75
84,0,2,0.75
85,0,2,0.75
86,0,2,0.75
87,0,2,0.75
88,0,2,0.75
89,0,2,0.75
90,0,2,0.75
91,0,2,0.75
92,1,2,0.75
93,0,2,0.75
94,0,2,0.75
95,0,2,0.75
96,0,2,0.75
97,0,2,0.75
98,1,2,0.7500239624012578
99,0,2,0.7500239624012578
100,0,2,0.7500239624012578
101,0,2,0.7500239624012578
102,0,2,0.7500239624012578
103,0,2,0.7500239624012578
104,0,2,0.7500239624012578
105,0,2,0.7500239624012578
106,1,2,0.7500239624012578
107,0,2,0.7500239624012578
108,0,2,0.7500239624012578
109,0,2,0.7500239624012578
110,0,2,0.7500239624012578
111,0,2,0.7500239624012578
112,0,2,0.7500239624012578
113,0,2,0.7500239624012578
114,0,2,0.7500239624012578
115,0,2,0.7500239624012578
116,0,2,0.7500239624012578
117,0,2,0.7500239624012578
118,0,2,0.7500239624012578
119,0,2,0.7500239624012578
120,0,2,0.7500239624012578
121,0,2,0.7500239624012578
122,0,2,0.7500239624012578
123,0,2,0.7500239624012578
124,0,2,0.7500239624012578
125,0,2,0.7500239624012578
126,0,2,0.7500239624012578
127,0,2,0.7500239624012578
128,0,2,0.7500239624012578
129,0,2,0.7500239624012578
130,0,2,0.7500239624012578
131,0,2,0.7500239624012578
132,0,2,0.7500239624012578
133,0,2,0.7500239624012578
134,0,2,0.7500239624012578
135,2,2,0.7500239624012578
136,0,2,0.7500239624012578
137,0,2,0.7500239624012578
138,0,2,0.7500239624012578
139,0,2,0.7500239624012578
140,0,2,0.7500239624012578
141,0,2,0.7500239624012578
142,0,2,0.7500239624012578
143,0,2,0.7500239624012578
144,0,2,0.7500239624012578
145,0,2,0.7500239624012578
146,0,2,0.7500239624012578
147,0,2,0.7500239624012578
148,1,2,0.7500239624012578
149,0,2,0.7500239624012578
150,0,2,0.7500239624012578
151,0,2,0.7500239624012578
152,0,2,0.7500239624012578
153,0,2,0.7500239624012578
154,0,2,0.7500239624012578
155,1,2,0.7500239624012578
156,0,2,0.7500239624012578
157,0,2,0.7500239624012578
158,0,2,0.7500239624012578
159,0,2,0.7500239624012578
160,0,2,0.7500239624012578
